id,numero,date_debut,date_signature,date_fin,statut,departement,chemin_fichier,niveau_gravite_specifique_aep,ressource_aep_communique,regle_gestion,arrete_cadre.id,arrete_cadre.numero,arrete_cadre.date_debut,arrete_cadre.date_fin,arrete_cadre.chemin_fichier,zones_alerte.id,zones_alerte.type,zones_alerte.code,zones_alerte.nom,zones_alerte.niveau_gravite,zones_alerte.id_sandre,zones_alerte.communes
22202,10563,2011-10-12,2011-10-11,2011-11-30,abroge,95,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22202/95aps%C3%A9cheressesign%C3%A9111011.pdf,null,null,undefined,21186,2010-8987,2010-06-29,2013-06-01,,,,,,,,
22210,2011-1536 Bis,2011-10-13,2011-10-13,2011-10-20,abroge,15,,null,null,undefined,,,,,,,,,,,,
22209,2011-1535 - bis,2011-10-13,2011-10-13,2011-10-20,abroge,15,,null,null,undefined,,,,,,,,,,,,
22205,2011-287-0001,2011-10-14,2011-10-14,2011-11-02,abroge,30,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22205/ap_20111014_corp_arrete_restriction_secheresse_gard.pdf,null,null,undefined,,,,,,,,,,,,
22211,2011-290-0003,2011-10-18,2011-10-17,2011-11-08,abroge,82,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22211/ap_20111017_sdpe82_gestion-crise-restriction-2011-eau-ap-2011-290-0003.pdf,null,null,undefined,,,,,,,,,,,,
22217,2011-4036,2011-10-18,2011-10-12,2011-11-30,abroge,69,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22217/arrete_crisealerte_20111012.pdf,null,null,undefined,,,,,,,,,,,,
22221,81009Aveyron,2011-10-21,2011-10-19,2011-10-30,abroge,81,,null,null,undefined,,,,,,,,,,,,
22223,2011-1581,2011-10-21,2011-10-21,2011-10-29,abroge,15,,null,null,undefined,,,,,,,,,,,,
22222,2011-1582,2011-10-21,2011-10-21,2011-10-29,abroge,15,,null,null,undefined,,,,,,,,,,,,
22220,AP13-Excep,2011-10-22,2011-10-19,2011-11-15,abroge,79,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22220/arrete_limitation_79_2011-10-19.pdf,null,null,undefined,,,,,,,,,,,,
22233,11-DDTM-721,2011-10-29,2011-10-28,2011-11-15,abroge,85,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22233/ap_11-ddtm-721_281011.pdf,null,null,undefined,,,,,,,,,,,,
22224,2011298-0001,2011-11-01,2011-10-25,2011-11-30,abroge,87,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22224/ap%20du%2025%20octobre%202011%20prolongeant%20les%20mesures%20de%20restriction.pdf,null,null,undefined,,,,,,,,,,,,
